subclasse;subclasse_num7;denominacao;secao;divisao;grupo;classe;eh_mvp
0133-4/03;0133403;Cultivo de caju;A;01;013;0133-4;NÃO
0133-4/04;0133404;Cultivo de cítricos, exceto laranja;A;01;013;0133-4;NÃO
0133-4/05;0133405;Cultivo de coco-da-baía;A;01;013;0133-4;NÃO
0133-4/06;0133406;Cultivo de guaraná;A;01;013;0133-4;NÃO
0133-4/07;0133407;Cultivo de maçã;A;01;013;0133-4;NÃO
0133-4/08;0133408;Cultivo de mamão;A;01;013;0133-4;NÃO
0133-4/09;0133409;Cultivo de maracujá;A;01;013;0133-4;NÃO
0133-4/10;0133410;Cultivo de manga;A;01;013;0133-4;NÃO
0133-4/11;0133411;Cultivo de pêssego;A;01;013;0133-4;NÃO
0133-4/99;0133499;Cultivo de frutas de lavoura permanente não especificadas anteriormente;A;01;013;0133-4;NÃO
0134-2/00;0134200;Cultivo de café;A;01;013;0134-2;NÃO
0135-1/00;0135100;Cultivo de cacau;A;01;013;0135-1;NÃO
0139-3/01;0139301;Cultivo de chá-da-índia;A;01;013;0139-3;NÃO
0139-3/02;0139302;Cultivo de erva-mate;A;01;013;0139-3;NÃO
0139-3/03;0139303;Cultivo de pimenta-do-reino;A;01;013;0139-3;NÃO
0139-3/04;0139304;Cultivo de plantas para condimento, exceto pimenta-do-reino;A;01;013;0139-3;NÃO
0139-3/05;0139305;Cultivo de dendê;A;01;013;0139-3;NÃO
0139-3/06;0139306;Cultivo de seringueira;A;01;013;0139-3;NÃO
0139-3/99;0139399;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;A;01;013;0139-3;NÃO
0141-5/01;0141501;Produção de sementes certificadas, exceto de forrageiras para pasto;A;01;014;0141-5;NÃO
0141-5/02;0141502;Produção de sementes certificadas de forrageiras para formação de pasto;A;01;014;0141-5;NÃO
0142-3/00;0142300;Produção de mudas e outras formas de propagação vegetal, certificadas;A;01;014;0142-3;NÃO
0151-2/01;0151201;Criação de bovinos para corte;A;01;015;0151-2;NÃO
0151-2/02;0151202;Criação de bovinos para leite;A;01;015;0151-2;NÃO
0151-2/03;0151203;Criação de bovinos, exceto para corte e leite;A;01;015;0151-2;NÃO
0152-1/01;0152101;Criação de bufalinos;A;01;015;0152-1;NÃO
0152-1/02;0152102;Criação de equinos;A;01;015;0152-1;SIM
0152-1/03;0152103;Criação de asininos e muares;A;01;015;0152-1;NÃO
0153-9/01;0153901;Criação de caprinos;A;01;015;0153-9;NÃO
0153-9/02;0153902;Criação de ovinos, inclusive para produção de lã;A;01;015;0153-9;NÃO
0154-7/00;0154700;Criação de suínos;A;01;015;0154-7;NÃO
0155-5/01;0155501;Criação de frangos para corte;A;01;015;0155-5;NÃO
0155-5/02;0155502;Produção de pintos de um dia;A;01;015;0155-5;NÃO
0155-5/03;0155503;Criação de outros galináceos, exceto para corte;A;01;015;0155-5;NÃO
0155-5/04;0155504;Criação de aves, exceto galináceos;A;01;015;0155-5;NÃO
0155-5/05;0155505;Produção de ovos;A;01;015;0155-5;NÃO
0159-8/01;0159801;Apicultura;A;01;015;0159-8;NÃO
0159-8/02;0159802;Criação de animais de estimação;A;01;015;0159-8;NÃO
0159-8/03;0159803;Criação de escargô;A;01;015;0159-8;NÃO
0159-8/04;0159804;Criação de bicho-da-seda;A;01;015;0159-8;NÃO
0159-8/99;0159899;Criação de outros animais não especificados anteriormente;A;01;015;0159-8;NÃO
0161-0/01;0161001;Serviço de pulverização e controle de pragas agrícolas;A;01;016;0161-0;NÃO
0161-0/02;0161002;Serviço de poda de árvores para lavouras;A;01;016;0161-0;NÃO
0161-0/03;0161003;Serviço de preparação de terreno, cultivo e colheita;A;01;016;0161-0;NÃO
0161-0/99;0161099;Atividades de apoio à agricultura não especificadas anteriormente;A;01;016;0161-0;NÃO
0162-8/01;0162801;Serviço de inseminação artificial em animais;A;01;016;0162-8;NÃO
0162-8/02;0162802;Serviço de tosquiamento de ovinos;A;01;016;0162-8;NÃO
0162-8/03;0162803;Serviço de manejo de animais;A;01;016;0162-8;NÃO
0162-8/99;0162899;Atividades de apoio à pecuária não especificadas anteriormente;A;01;016;0162-8;SIM
0163-6/00;0163600;Atividades de pós-colheita;A;01;016;0163-6;NÃO
0170-9/00;0170900;Caça e serviços relacionados;A;01;017;0170-9;NÃO
0210-1/01;0210101;Cultivo de eucalipto;A;02;021;0210-1;NÃO
0210-1/02;0210102;Cultivo de acácia-negra;A;02;021;0210-1;NÃO
0210-1/03;0210103;Cultivo de pinus;A;02;021;0210-1;NÃO
0210-1/04;0210104;Cultivo de teca;A;02;021;0210-1;NÃO
0210-1/05;0210105;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;A;02;021;0210-1;NÃO
0210-1/06;0210106;Cultivo de mudas em viveiros florestais;A;02;021;0210-1;NÃO
0210-1/07;0210107;Extração de madeira em florestas plantadas;A;02;021;0210-1;NÃO
0210-1/08;0210108;Produção de carvão vegetal - florestas plantadas;A;02;021;0210-1;NÃO
0210-1/09;0210109;Produção de casca de acácia-negra - florestas plantadas;A;02;021;0210-1;NÃO
0210-1/99;0210199;Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas;A;02;021;0210-1;NÃO
0220-9/01;0220901;Extração de madeira em florestas nativas;A;02;022;0220-9;NÃO
0220-9/02;0220902;Produção de carvão vegetal - florestas nativas;A;02;022;0220-9;NÃO
0220-9/03;0220903;Coleta de castanha-do-pará em florestas nativas;A;02;022;0220-9;NÃO
0220-9/04;0220904;Coleta de látex em florestas nativas;A;02;022;0220-9;NÃO
0220-9/05;0220905;Coleta de palmito em florestas nativas;A;02;022;0220-9;NÃO
0220-9/06;0220906;Conservação de florestas nativas;A;02;022;0220-9;NÃO
0220-9/99;0220999;Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas;A;02;022;0220-9;NÃO
0230-6/00;0230600;Atividades de apoio à produção florestal;A;02;023;0230-6;NÃO
0311-6/01;0311601;Pesca de peixes em água salgada;A;03;031;0311-6;NÃO
0311-6/02;0311602;Pesca de crustáceos e moluscos em água salgada;A;03;031;0311-6;NÃO
0311-6/03;0311603;Coleta de outros produtos marinhos;A;03;031;0311-6;NÃO
0311-6/04;0311604;Atividades de apoio à pesca em água salgada;A;03;031;0311-6;NÃO
0312-4/01;0312401;Pesca de peixes em água doce;A;03;031;0312-4;NÃO
0312-4/02;0312402;Pesca de crustáceos e moluscos em água doce;A;03;031;0312-4;NÃO
0312-4/03;0312403;Coleta de outros produtos aquáticos de água doce;A;03;031;0312-4;NÃO
0312-4/04;0312404;Atividades de apoio à pesca em água doce;A;03;031;0312-4;NÃO
0321-3/01;0321301;Criação de peixes em água salgada e salobra;A;03;032;0321-3;NÃO
0321-3/02;0321302;Criação de camarões em água salgada e salobra;A;03;032;0321-3;NÃO
0321-3/03;0321303;Criação de ostras e mexilhões em água salgada e salobra;A;03;032;0321-3;NÃO
0321-3/04;0321304;Criação de peixes ornamentais em água salgada e salobra;A;03;032;0321-3;NÃO
0321-3/05;0321305;Atividades de apoio à aquicultura em água salgada e salobra;A;03;032;0321-3;NÃO
0321-3/99;0321399;Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente;A;03;032;0321-3;NÃO
0322-1/01;0322101;Criação de peixes em água doce;A;03;032;0322-1;NÃO
0322-1/02;0322102;Criação de camarões em água doce;A;03;032;0322-1;NÃO
0322-1/03;0322103;Criação de ostras e mexilhões em água doce;A;03;032;0322-1;NÃO
0322-1/04;0322104;Criação de peixes ornamentais em água doce;A;03;032;0322-1;NÃO
0322-1/05;0322105;Ranicultura;A;03;032;0322-1;NÃO
0322-1/06;0322106;Criação de jacaré;A;03;032;0322-1;NÃO
0322-1/07;0322107;Atividades de apoio à aquicultura em água doce;A;03;032;0322-1;NÃO
0322-1/99;0322199;Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente;A;03;032;0322-1;NÃO
0500-3/01;0500301;Extração de carvão mineral;B;05;050;0500-3;NÃO
0500-3/02;0500302;Beneficiamento de carvão mineral;B;05;050;0500-3;NÃO
0600-0/01;0600001;Extração de petróleo e gás natural;B;06;060;0600-0;NÃO
0600-0/02;0600002;Extração e beneficiamento de xisto;B;06;060;0600-0;NÃO
0600-0/03;0600003;Extração e beneficiamento de areias betuminosas;B;06;060;0600-0;NÃO
0710-3/01;0710301;Extração de minério de ferro;B;07;071;0710-3;NÃO
0710-3/02;0710302;Pelotização, sinterização e outros beneficiamentos de minério de ferro;B;07;071;0710-3;NÃO
0721-9/01;0721901;Extração de minério de alumínio;B;07;072;0721-9;NÃO
0721-9/02;0721902;Beneficiamento de minério de alumínio;B;07;072;0721-9;NÃO
0722-7/01;0722701;Extração de minério de estanho;B;07;072;0722-7;NÃO
0722-7/02;0722702;Beneficiamento de minério de estanho;B;07;072;0722-7;NÃO
0723-5/01;0723501;Extração de minério de manganês;B;07;072;0723-5;NÃO
0723-5/02;0723502;Beneficiamento de minério de manganês;B;07;072;0723-5;NÃO
0724-3/01;0724301;Extração de minério de metais preciosos;B;07;072;0724-3;NÃO
0724-3/02;0724302;Beneficiamento de minério de metais preciosos;B;07;072;0724-3;NÃO
0725-1/00;0725100;Extração de minerais radioativos;B;07;072;0725-1;NÃO
0729-4/01;0729401;Extração de minérios de nióbio e titânio;B;07;072;0729-4;NÃO
0729-4/02;0729402;Extração de minério de tungstênio;B;07;072;0729-4;NÃO
0729-4/03;0729403;Extração de minério de níquel;B;07;072;0729-4;NÃO
0729-4/04;0729404;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;B;07;072;0729-4;NÃO
0729-4/05;0729405;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;B;07;072;0729-4;NÃO
0810-0/01;0810001;Extração de ardósia e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/02;0810002;Extração de granito e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/03;0810003;Extração de mármore e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/04;0810004;Extração de calcário e dolomita e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/05;0810005;Extração de gesso e caulim;B;08;081;0810-0;NÃO
0810-0/06;0810006;Extração de areia, cascalho ou pedregulho e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/07;0810007;Extração de argila e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/08;0810008;Extração de saibro e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/09;0810009;Extração de basalto e beneficiamento associado;B;08;081;0810-0;NÃO
0810-0/10;0810010;Beneficiamento de gesso e caulim associado à extração;B;08;081;0810-0;NÃO
0810-0/99;0810099;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;B;08;081;0810-0;NÃO
0891-6/00;0891600;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;B;08;089;0891-6;NÃO
0892-4/01;0892401;Extração de sal marinho;B;08;089;0892-4;NÃO
0892-4/02;0892402;Extração de sal-gema;B;08;089;0892-4;NÃO
0892-4/03;0892403;Refino e outros tratamentos do sal;B;08;089;0892-4;NÃO
0893-2/00;0893200;Extração de gemas (pedras preciosas e semipreciosas);B;08;089;0893-2;NÃO
0899-1/01;0899101;Extração de grafita;B;08;089;0899-1;NÃO
0899-1/02;0899102;Extração de quartzo;B;08;089;0899-1;NÃO
0899-1/03;0899103;Extração de amianto;B;08;089;0899-1;NÃO
0899-1/99;0899199;Extração de outros minerais não metálicos não especificados anteriormente;B;08;089;0899-1;NÃO
0910-6/00;0910600;Atividades de apoio à extração de petróleo e gás natural;B;09;091;0910-6;NÃO
0990-4/01;0990401;Atividades de apoio à extração de minério de ferro;B;09;099;0990-4;NÃO
0990-4/02;0990402;Atividades de apoio à extração de minerais metálicos não ferrosos;B;09;099;0990-4;NÃO
0990-4/03;0990403;Atividades de apoio à extração de minerais não metálicos;B;09;099;0990-4;NÃO
1011-2/01;1011201;Frigorífico - abate de bovinos;C;10;101;1011-2;NÃO
1011-2/02;1011202;Frigorífico - abate de equinos;C;10;101;1011-2;NÃO
1011-2/03;1011203;Frigorífico - abate de ovinos e caprinos;C;10;101;1011-2;NÃO
1011-2/04;1011204;Frigorífico - abate de bufalinos;C;10;101;1011-2;NÃO
1011-2/05;1011205;Matadouro - abate de reses sob contrato, exceto abate de suínos;C;10;101;1011-2;NÃO
1012-1/01;1012101;Abate de aves;C;10;101;1012-1;NÃO
1012-1/02;1012102;Abate de pequenos animais;C;10;101;1012-1;NÃO
1012-1/03;1012103;Frigorífico - abate de suínos;C;10;101;1012-1;NÃO
1012-1/04;1012104;Matadouro - abate de suínos sob contrato;C;10;101;1012-1;NÃO
1013-9/01;1013901;Fabricação de produtos de carne;C;10;101;1013-9;NÃO
1013-9/02;1013902;Preparação de subprodutos do abate;C;10;101;1013-9;NÃO
1020-1/01;1020101;Preservação de peixes, crustáceos e moluscos;C;10;102;1020-1;NÃO
1020-1/02;1020102;Fabricação de conservas de peixes, crustáceos e moluscos;C;10;102;1020-1;NÃO
1031-7/00;1031700;Fabricação de conservas de frutas;C;10;103;1031-7;NÃO
1032-5/01;1032501;Fabricação de conservas de palmito;C;10;103;1032-5;NÃO
1032-5/99;1032599;Fabricação de conservas de legumes e outros vegetais, exceto palmito;C;10;103;1032-5;NÃO
1033-3/01;1033301;Fabricação de sucos concentrados de frutas, hortaliças e legumes;C;10;103;1033-3;NÃO
1033-3/02;1033302;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;C;10;103;1033-3;NÃO
1041-4/00;1041400;Fabricação de óleos vegetais em bruto, exceto óleo de milho;C;10;104;1041-4;NÃO
1042-2/00;1042200;Fabricação de óleos vegetais refinados, exceto óleo de milho;C;10;104;1042-2;NÃO
1043-1/00;1043100;Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais;C;10;104;1043-1;NÃO
1051-1/00;1051100;Preparação do leite;C;10;105;1051-1;NÃO
1052-0/00;1052000;Fabricação de laticínios;C;10;105;1052-0;NÃO
1053-8/00;1053800;Fabricação de sorvetes e outros gelados comestíveis;C;10;105;1053-8;NÃO
1061-9/01;1061901;Beneficiamento de arroz;C;10;106;1061-9;NÃO
1061-9/02;1061902;Fabricação de produtos do arroz;C;10;106;1061-9;NÃO
1062-7/00;1062700;Moagem de trigo e fabricação de derivados;C;10;106;1062-7;NÃO
1063-5/00;1063500;Fabricação de farinha de mandioca e derivados;C;10;106;1063-5;NÃO
1064-3/00;1064300;Fabricação de farinha de milho e derivados, exceto óleos de milho;C;10;106;1064-3;NÃO
1065-1/01;1065101;Fabricação de amidos e féculas de vegetais;C;10;106;1065-1;NÃO
1065-1/02;1065102;Fabricação de óleo de milho em bruto;C;10;106;1065-1;NÃO
1065-1/03;1065103;Fabricação de óleo de milho refinado;C;10;106;1065-1;NÃO
1066-0/00;1066000;Fabricação de alimentos para animais;C;10;106;1066-0;NÃO
1069-4/00;1069400;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;C;10;106;1069-4;NÃO
1071-6/00;1071600;Fabricação de açúcar em bruto;C;10;107;1071-6;NÃO
1072-4/01;1072401;Fabricação de açúcar de cana refinado;C;10;107;1072-4;NÃO
1072-4/02;1072402;Fabricação de açúcar de cereais (dextrose) e de beterraba;C;10;107;1072-4;NÃO
1081-3/01;1081301;Beneficiamento de café;C;10;108;1081-3;NÃO
1081-3/02;1081302;Torrefação e moagem de café;C;10;108;1081-3;NÃO
1082-1/00;1082100;Fabricação de produtos à base de café;C;10;108;1082-1;NÃO
1091-1/01;1091101;Fabricação de produtos de panificação industrial;C;10;109;1091-1;NÃO
1091-1/02;1091102;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;C;10;109;1091-1;NÃO
1092-9/00;1092900;Fabricação de biscoitos e bolachas;C;10;109;1092-9;NÃO
1093-7/01;1093701;Fabricação de produtos derivados do cacau e de chocolates;C;10;109;1093-7;NÃO
1093-7/02;1093702;Fabricação de frutas cristalizadas, balas e semelhantes;C;10;109;1093-7;NÃO
1094-5/00;1094500;Fabricação de massas alimentícias;C;10;109;1094-5;NÃO
1095-3/00;1095300;Fabricação de especiarias, molhos, temperos e condimentos;C;10;109;1095-3;NÃO
1096-1/00;1096100;Fabricação de alimentos e pratos prontos;C;10;109;1096-1;NÃO
1099-6/01;1099601;Fabricação de vinagres;C;10;109;1099-6;NÃO
1099-6/02;1099602;Fabricação de pós-alimentícios;C;10;109;1099-6;NÃO
1099-6/03;1099603;Fabricação de fermentos e leveduras;C;10;109;1099-6;NÃO
1099-6/04;1099604;Fabricação de gelo comum;C;10;109;1099-6;NÃO
1099-6/05;1099605;Fabricação de produtos para infusão (chá, mate, etc.);C;10;109;1099-6;NÃO
1099-6/06;1099606;Fabricação de adoçantes naturais e artificiais;C;10;109;1099-6;NÃO
1099-6/07;1099607;Fabricação de alimentos dietéticos e complementos alimentares;C;10;109;1099-6;NÃO
1099-6/99;1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;C;10;109;1099-6;NÃO
1111-9/01;1111901;Fabricação de aguardente de cana-de-açúcar;C;11;111;1111-9;NÃO
1111-9/02;1111902;Fabricação de outras aguardentes e bebidas destiladas;C;11;111;1111-9;NÃO
1112-7/00;1112700;Fabricação de vinho;C;11;111;1112-7;NÃO
1113-5/01;1113501;Fabricação de malte, inclusive malte uísque;C;11;111;1113-5;NÃO
1113-5/02;1113502;Fabricação de cervejas e chopes;C;11;111;1113-5;NÃO
1121-6/00;1121600;Fabricação de águas envasadas;C;11;112;1121-6;NÃO
1122-4/01;1122401;Fabricação de refrigerantes;C;11;112;1122-4;NÃO
1122-4/02;1122402;Fabricação de chá mate e outros chás prontos para consumo;C;11;112;1122-4;NÃO
1122-4/03;1122403;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;C;11;112;1122-4;NÃO
1122-4/04;1122404;Fabricação de bebidas isotônicas;C;11;112;1122-4;NÃO
1122-4/99;1122499;Fabricação de outras bebidas não alcoólicas não especificadas anteriormente;C;11;112;1122-4;NÃO
1210-7/00;1210700;Processamento industrial do fumo;C;12;121;1210-7;NÃO
1220-4/01;1220401;Fabricação de cigarros;C;12;122;1220-4;NÃO
1220-4/02;1220402;Fabricação de cigarrilhas e charutos;C;12;122;1220-4;NÃO
1220-4/03;1220403;Fabricação de filtros para cigarros;C;12;122;1220-4;NÃO
1220-4/99;1220499;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;C;12;122;1220-4;NÃO
1311-1/00;1311100;Preparação e fiação de fibras de algodão;C;13;131;1311-1;NÃO
1312-0/00;1312000;Preparação e fiação de fibras têxteis naturais, exceto algodão;C;13;131;1312-0;NÃO
1313-8/00;1313800;Fiação de fibras artificiais e sintéticas;C;13;131;1313-8;NÃO
1314-6/00;1314600;Fabricação de linhas para costurar e bordar;C;13;131;1314-6;NÃO
1321-9/00;1321900;Tecelagem de fios de algodão;C;13;132;1321-9;NÃO
1322-7/00;1322700;Tecelagem de fios de fibras têxteis naturais, exceto algodão;C;13;132;1322-7;NÃO
1323-5/00;1323500;Tecelagem de fios de fibras artificiais e sintéticas;C;13;132;1323-5;NÃO
1330-8/00;1330800;Fabricação de tecidos de malha;C;13;133;1330-8;NÃO
1340-5/01;1340501;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;C;13;134;1340-5;NÃO
1340-5/02;1340502;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;C;13;134;1340-5;NÃO
1340-5/99;1340599;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;C;13;134;1340-5;NÃO
1351-1/00;1351100;Fabricação de artefatos têxteis para uso doméstico;C;13;135;1351-1;NÃO
1352-9/00;1352900;Fabricação de artefatos de tapeçaria;C;13;135;1352-9;NÃO
1353-7/00;1353700;Fabricação de artefatos de cordoaria;C;13;135;1353-7;NÃO
1354-5/00;1354500;Fabricação de tecidos especiais, inclusive artefatos;C;13;135;1354-5;NÃO
1359-6/00;1359600;Fabricação de outros produtos têxteis não especificados anteriormente;C;13;135;1359-6;NÃO
1411-8/01;1411801;Confecção de roupas íntimas;C;14;141;1411-8;NÃO
1411-8/02;1411802;Facção de roupas íntimas;C;14;141;1411-8;NÃO
1412-6/01;1412601;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;C;14;141;1412-6;NÃO
1412-6/02;1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;C;14;141;1412-6;NÃO
1412-6/03;1412603;Facção de peças do vestuário, exceto roupas íntimas;C;14;141;1412-6;NÃO
1413-4/01;1413401;Confecção de roupas profissionais, exceto sob medida;C;14;141;1413-4;NÃO
1413-4/02;1413402;Confecção, sob medida, de roupas profissionais;C;14;141;1413-4;NÃO
1413-4/03;1413403;Facção de roupas profissionais;C;14;141;1413-4;NÃO
1414-2/00;1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;C;14;141;1414-2;NÃO
1421-5/00;1421500;Fabricação de meias;C;14;142;1421-5;NÃO
1422-3/00;1422300;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;C;14;142;1422-3;NÃO
1510-6/00;1510600;Curtimento e outras preparações de couro;C;15;151;1510-6;SIM
1521-1/00;1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;C;15;152;1521-1;NÃO
1529-7/00;1529700;Fabricação de artefatos de couro não especificados anteriormente;C;15;152;1529-7;SIM
1531-9/01;1531901;Fabricação de calçados de couro;C;15;153;1531-9;NÃO
1531-9/02;1531902;Acabamento de calçados de couro sob contrato;C;15;153;1531-9;NÃO
1532-7/00;1532700;Fabricação de tênis de qualquer material;C;15;153;1532-7;NÃO
1533-5/00;1533500;Fabricação de calçados de material sintético;C;15;153;1533-5;NÃO
1539-4/00;1539400;"Fabricação de calçados de materiais não especificados
anteriormente";C;15;153;1539-4;NÃO
1540-8/00;1540800;Fabricação de partes para calçados, de qualquer material;C;15;154;1540-8;NÃO
1610-2/03;1610203;Serrarias com desdobramento de madeira em bruto;C;16;161;1610-2;NÃO
1610-2/04;1610204;Serrarias sem desdobramento de madeira em bruto - Resseragem;C;16;161;1610-2;NÃO
1610-2/05;1610205;Serviço de tratamento de madeira realizado sob contrato;C;16;161;1610-2;NÃO
1621-8/00;1621800;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;C;16;162;1621-8;NÃO
1622-6/01;1622601;Fabricação de casas de madeira pré-fabricadas;C;16;162;1622-6;NÃO
1622-6/02;1622602;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;C;16;162;1622-6;NÃO
1622-6/99;1622699;Fabricação de outros artigos de carpintaria para construção;C;16;162;1622-6;NÃO
1623-4/00;1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;C;16;162;1623-4;NÃO
1629-3/01;1629301;Fabricação de artefatos diversos de madeira, exceto móveis;C;16;162;1629-3;NÃO
1629-3/02;1629302;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;C;16;162;1629-3;NÃO
1710-9/00;1710900;Fabricação de celulose e outras pastas para a fabricação de papel;C;17;171;1710-9;NÃO
1721-4/00;1721400;Fabricação de papel;C;17;172;1721-4;NÃO
1722-2/00;1722200;Fabricação de cartolina e papel-cartão;C;17;172;1722-2;NÃO
1731-1/00;1731100;Fabricação de embalagens de papel;C;17;173;1731-1;NÃO
1732-0/00;1732000;Fabricação de embalagens de cartolina e papel-cartão;C;17;173;1732-0;NÃO
1733-8/00;1733800;Fabricação de chapas e de embalagens de papelão ondulado;C;17;173;1733-8;NÃO
1741-9/01;1741901;Fabricação de formulários contínuos;C;17;174;1741-9;NÃO
1741-9/02;1741902;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;C;17;174;1741-9;NÃO
1742-7/01;1742701;Fabricação de fraldas descartáveis;C;17;174;1742-7;NÃO
1742-7/02;1742702;Fabricação de absorventes higiênicos;C;17;174;1742-7;NÃO
1742-7/99;1742799;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;C;17;174;1742-7;NÃO
1749-4/00;1749400;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;C;17;174;1749-4;NÃO
1811-3/01;1811301;Impressão de jornais;C;18;181;1811-3;NÃO
1811-3/02;1811302;Impressão de livros, revistas e outras publicações periódicas;C;18;181;1811-3;NÃO
1812-1/00;1812100;Impressão de material de segurança;C;18;181;1812-1;NÃO
1813-0/01;1813001;Impressão de material para uso publicitário;C;18;181;1813-0;NÃO
1813-0/99;1813099;Impressão de material para outros usos;C;18;181;1813-0;NÃO
1821-1/00;1821100;Serviços de pré-impressão;C;18;182;1821-1;NÃO
1822-9/01;1822901;Serviços de encadernação e plastificação;C;18;182;1822-9;NÃO
1822-9/99;1822999;Serviços de acabamentos gráficos, exceto encadernação e plastificação;C;18;182;1822-9;NÃO
1830-0/01;1830001;Reprodução de som em qualquer suporte;C;18;183;1830-0;NÃO
1830-0/02;1830002;Reprodução de vídeo em qualquer suporte;C;18;183;1830-0;NÃO
